Candidato,Método,Intención de voto (%),L. Inferior,L. Superior
Aguinaga,t-student,1.5853658536585367,1.2781597207960653,1.892571986521008
Ballesteros,t-student,0.16097560975609757,0.08434680405296742,0.23760441545922772
Bermúdez,t-student,0.16341463414634147,0.05232136074392439,0.27450790754875853
Correa,t-student,2.346341463414634,1.5855894731134015,3.1070934537158665
Corredor,t-student,4.15609756097561,3.442305056657501,4.869890065293719
Duque,t-student,2.533333333333333,0.9394804623521855,4.127186204314481
Gutiérrez,t-student,59.28780487804878,56.5607118219063,62.014897934191254
Hernández,t-student,0.45714285714285713,0.15107087573834993,0.7632148385473644
Rendón,t-student,1.1317073170731706,0.5424068242413405,1.7210078099050008
Restrepo,t-student,1.002439024390244,0.42651739130648625,1.5783606574740017
Tobón,t-student,2.9682926829268292,2.531760537700782,3.4048248281528766
Upegui,t-student,13.517073170731708,12.444599505865678,14.589546835597739
Valderrama,t-student,0.8317073170731708,0.3712941092594615,1.29212052488688
Mejía,t-student,0.1951219512195122,0.0013248789826974124,0.38891902345632695
Voto en Blanco,t-student,7.109756097560975,5.922416419168345,8.297095775953606
Ninguno,t-student,4.35,0.5543407053115518,8.145659294688448
NS/NR,t-student,7.414285714285715,5.381633630150196,9.446937798421233
Aguinaga,t-student - log,1.3854154419841955,2.083402057455755,2.7312091828331595
Ballesteros,t-student - log,0.13964226900045454,1.0738606487457334,1.2094534824508947
Bermúdez,t-student - log,0.12832237991223536,1.0494763034794925,1.2130920810597303
Correa,t-student - log,1.875465066515022,2.443826642423078,3.3833411933631017
Corredor,t-student - log,3.720487722521539,4.11303208902143,5.417658762729989
Duque,t-student - log,2.290107704764848,2.138723424436868,5.061341071626978
Gutiérrez,t-student - log,58.607268052223844,56.711759626114876,62.650611232552066
Hernández,t-student - log,0.42109083310891443,1.128456836528052,1.7896113440719854
Rendón,t-student - log,0.6886738131002049,1.3855079829581292,2.0581759774216786
Restrepo,t-student - log,0.6222196112620579,1.3503520549685415,1.9488224996440124
Tobón,t-student - log,2.714962287186554,3.284889470271407,4.201342212612736
Upegui,t-student - log,13.078591881258264,12.950062692151393,15.305466395862146
Valderrama,t-student - log,0.5512373178651967,1.3167078410368669,1.827540735568714
Mejía,t-student - log,0.12638856430024034,1.0274580044626427,1.2348448231223907
Voto en Blanco,t-student - log,6.459969949705568,6.562472486719606,8.48021104288523
Ninguno,t-student - log,3.9591009102762804,2.415787989164079,10.179983487215157
NS/NR,t-student - log,6.724891194581789,5.999455042475483,9.946560736873979
Aguinaga,BootPromedio-ICQ,1.5839239024390244,1.2975609756097561,1.8829268292682926
Ballesteros,BootPromedio-ICQ,0.16141365853658537,0.09268292682926829,0.23902439024390243
Bermúdez,BootPromedio-ICQ,0.16280170731707316,0.06829268292682927,0.2829268292682927
Correa,BootPromedio-ICQ,2.347118780487805,1.721890243902439,3.1634146341463416
Corredor,BootPromedio-ICQ,4.151186585365854,3.5,4.878048780487805
Duque,BootPromedio-ICQ,2.5389383333333333,1.55,3.75
Gutiérrez,BootPromedio-ICQ,59.285747317073174,56.5390243902439,61.821951219512194
Hernández,BootPromedio-ICQ,0.45678857142857143,0.21428571428571427,0.6714285714285714
Rendón,BootPromedio-ICQ,1.1365441463414634,0.6268292682926829,1.7609756097560976
Restrepo,BootPromedio-ICQ,1.003168536585366,0.5365853658536586,1.6366463414634138
Tobón,BootPromedio-ICQ,2.967441219512195,2.5609756097560976,3.407378048780487
Upegui,BootPromedio-ICQ,13.503471707317074,12.453658536585365,14.543963414634145
Valderrama,BootPromedio-ICQ,0.8335782926829268,0.4560975609756098,1.3365853658536586
Mejía,BootPromedio-ICQ,0.1956070731707317,0.05365853658536585,0.4121951219512195
Voto en Blanco,BootPromedio-ICQ,7.116099512195122,6.053658536585366,8.351341463414633
Ninguno,BootPromedio-ICQ,4.358715,2.5,6.300000000000001
NS/NR,BootPromedio-ICQ,7.4216685714285715,5.7214285714285715,9.221428571428572
Aguinaga,BootPromedio-ICEE,1.5839239024390244,1.2899765612169918,1.877871243661057
Ballesteros,BootPromedio-ICEE,0.16141365853658537,0.087801047032377,0.23502627004079374
Bermúdez,BootPromedio-ICEE,0.16280170731707316,0.05639570666930964,0.2692077079648367
Correa,BootPromedio-ICEE,2.347118780487805,1.6206037467764147,3.0736338141991952
Corredor,BootPromedio-ICEE,4.151186585365854,3.4587251847804104,4.843647985951297
Duque,BootPromedio-ICEE,2.5389383333333333,1.4350925492866138,3.642784117380053
Gutiérrez,BootPromedio-ICEE,59.285747317073174,56.66989959898021,61.90159503516614
Hernández,BootPromedio-ICEE,0.45678857142857143,0.23226898321563527,0.6813081596415076
Rendón,BootPromedio-ICEE,1.1365441463414634,0.5663039912055599,1.706784301477367
Restrepo,BootPromedio-ICEE,1.003168536585366,0.4473349526000411,1.5590021205706908
Tobón,BootPromedio-ICEE,2.967441219512195,2.547035728285747,3.387846710738643
Upegui,BootPromedio-ICEE,13.503471707317074,12.469170959897918,14.53777245473623
Valderrama,BootPromedio-ICEE,0.8335782926829268,0.38961680722288256,1.2775397781429711
Mejía,BootPromedio-ICEE,0.1956070731707317,0.009560084574407018,0.3816540617670564
Voto en Blanco,BootPromedio-ICEE,7.116099512195122,5.962266557924327,8.269932466465917
Ninguno,BootPromedio-ICEE,4.358715,2.3288937879165044,6.388536212083496
NS/NR,BootPromedio-ICEE,7.4216685714285715,5.655715736400708,9.187621406456435
Aguinaga,BootMediana-ICQ,1.68656,1.4,1.9
Ballesteros,BootMediana-ICQ,0.015550000000000001,0,0.1
